Minisector,PIA,HUL,Fastest
0,276.510879010352,275.5571847887893,PIA
1,299.5755790952727,293.567944636271,PIA
2,301.495654532943,288.5392237238598,PIA
3,186.02884748739962,174.75410005963528,PIA
4,122.17456787878845,116.6118580534224,PIA
5,238.2903482669197,235.74648820876786,PIA
6,283.0547441879456,278.8985864058094,PIA
7,295.3483886282433,288.1580963504132,PIA
8,181.14064700849582,174.86848252486774,PIA
9,138.8810778282705,139.21337355373123,HUL
10,250.84306205857834,249.22737096588745,PIA
11,288.5693993074968,286.3390364687973,PIA
12,299.9086498291573,300.50507009587767,HUL
13,288.29436870350577,280.0695596643771,PIA
14,306.2423026053333,299.71836058320343,PIA
15,310.3704337721212,297.07009427404165,PIA
16,258.09876271725716,252.92725929670328,PIA
17,222.23808146951427,226.28541719340242,HUL
18,277.8775216510145,277.10335024234433,PIA
19,305.99135765790476,301.70174164868706,PIA
20,314.51531221333335,305.83868893621934,PIA
21,249.93842457766235,241.42263811386005,PIA
22,266.5382441470037,257.9618944190615,PIA
23,138.51154755058732,146.40391361991254,HUL
24,212.07061904147466,208.54742006290542,PIA
25,,255.66000128,HUL
