Minisector,NOR,ALB,Fastest
0,281.98204544000004,296.6048723160503,ALB
1,210.52967445681404,213.8346420580499,ALB
2,223.03976253226665,227.8606673927088,ALB
3,270.00107173206345,274.9836120685106,ALB
4,243.95247936147564,239.93670138758094,NOR
5,128.7339831925923,127.20501517862941,NOR
6,210.1553301486123,209.60817081872003,NOR
7,254.6878913770545,253.1198812612472,NOR
8,240.34540399175407,230.8402996254284,NOR
9,228.06668668041516,229.41874449970052,ALB
10,270.6326280688133,272.5825167494372,ALB
11,288.85749712610846,292.87593700451845,ALB
12,298.72587740016706,304.7613931088254,ALB
13,303.30371437104765,310.8597511296494,ALB
14,296.1655012939327,306.6669245710812,ALB
15,248.34279875746032,247.84308467442057,NOR
16,240.0147320214355,233.14670216666664,NOR
17,276.1940243051429,275.7795371167457,NOR
18,282.41862463318034,288.32420991788524,ALB
19,157.0640542845113,146.29558726249826,NOR
20,212.2952113774587,207.45020488156985,NOR
21,187.442709627013,171.7430539333839,NOR
22,140.56756674775855,142.80350113317365,ALB
23,234.53378034140934,237.84085740495863,ALB
24,276.05976429298704,280.19172583298246,ALB
25,285.57857188571427,,NOR
