Minisector,RUS,BOT,Fastest
0,287.78633007414646,292.05621791322244,BOT
1,297.88356554308126,302.73642365549955,BOT
2,270.64293791492065,284.01602118084605,BOT
3,108.9730352518624,102.03893255643995,RUS
4,217.1561518880465,217.35689239901237,BOT
5,268.58119417918675,277.5072794949348,BOT
6,211.0730583780642,212.04589058478382,BOT
7,159.25679642763427,155.4704834441492,RUS
8,216.98895831752776,202.19105492801478,RUS
9,219.8042824521368,215.60835854391533,RUS
10,111.77861468290442,111.9660949303407,BOT
11,224.62309989812778,226.43338777386475,BOT
12,111.32352613092834,115.35679218511463,BOT
13,214.7432339635108,219.1421650918821,BOT
14,273.4428390387686,283.43821761976335,BOT
15,215.01329622839003,209.7574831103492,RUS
16,195.63637471511692,181.07067827287074,RUS
17,248.54767187936508,246.39941318518518,RUS
18,199.85630137874497,196.20445575442474,RUS
19,178.62921657482764,170.90401282425702,RUS
20,258.7858097156514,259.42633130020204,BOT
21,285.7337686067019,289.6620357406061,BOT
22,171.09029766069472,169.97961212805774,RUS
23,212.7017653079365,201.24749058909845,RUS
24,268.7730121191526,271.5950388910053,BOT
25,281.0,292.6006942222222,BOT
