Minisector,ERI,GAS,Fastest
0,274.7806723764706,279.0706286474424,GAS
1,302.3614578,301.11694449777775,ERI
2,316.05819372976237,312.10169110812916,ERI
3,323.2610119619048,319.46888888888884,ERI
4,326.9661863834012,324.15659340659346,ERI
5,329.3596155076923,326.4186109866667,ERI
6,203.30269046310866,195.54499536403304,ERI
7,105.92849997140704,103.31436862873706,ERI
8,186.94053968609595,189.4876899878788,GAS
9,260.2715270518518,267.52402032941177,GAS
10,286.97105712380954,296.2284329775442,GAS
11,164.4010648272109,151.99581337757294,ERI
12,96.63641697137267,95.54958020854562,ERI
13,115.49976552900175,115.67696972503053,GAS
14,210.93198060606062,220.56493087960223,GAS
15,175.5491039322603,181.94193541259693,GAS
16,206.8754061229437,214.71047752373448,GAS
17,167.6471372800978,172.35116304162273,GAS
18,230.714912,239.142531032381,GAS
19,275.2341051203445,281.99479253333334,GAS
20,248.3589917754386,243.1637766687693,ERI
21,145.14147394606255,142.56856557670795,ERI
22,96.29980063171989,94.80706516374298,ERI
23,121.14745867578667,120.06787133409738,ERI
24,225.22584174545094,231.7339897447619,GAS
25,,262.26667093333333,GAS
