Minisector,PER,ALB,Fastest
0,236.89905782365594,231.40320209212675,PER
1,284.91580100351416,282.40658456903697,PER
2,300.6941551639398,296.9020238751813,PER
3,307.35436057520894,302.0752893925926,PER
4,262.13631315538254,261.05177059787496,PER
5,169.01668160464112,166.11199036201637,PER
6,263.8902772938272,261.870999844112,PER
7,283.1298076893773,278.4707542299404,PER
8,208.39908274938776,211.97829069232512,ALB
9,221.29166213022455,219.08062579015478,PER
10,179.29518095222025,185.42450592385543,ALB
11,227.47281690956606,222.93715123215702,PER
12,202.60581316184604,206.0888065015873,ALB
13,207.46750093714286,213.70557782026626,ALB
14,223.13719246901934,221.86544816105112,PER
15,175.1579848063426,181.24978028249788,ALB
16,248.88563720706262,245.15908951309513,PER
17,289.1306873779582,286.6693678124542,PER
18,302.32191052628684,297.24412767041036,PER
19,284.81437083076923,283.4285268512821,PER
20,127.53679131458013,132.10435785322892,ALB
21,157.5310743629729,167.4615859607417,ALB
22,154.96218169075686,141.03289873823124,PER
23,197.78133739590342,209.6920491215238,ALB
24,148.20043631169392,144.36256522278495,PER
25,191.53333759999998,179.79444195555553,PER
