Minisector,STR,TSU,Fastest
0,297.2372303470605,295.7463637754459,STR
1,209.34275672454513,200.87415475396807,STR
2,225.11109243956042,229.06860719009222,TSU
3,275.33324595070707,274.37707850897084,STR
4,242.56484712695251,235.20517924858524,STR
5,129.17466887174336,125.42264925017943,STR
6,215.65743582419756,211.19814924895243,STR
7,260.36811526402346,255.5770247626182,STR
8,252.10431497281385,242.01550053052526,STR
9,237.67274647390946,237.20437129258445,STR
10,274.525700429822,273.37110863178856,STR
11,291.64676226449757,290.53302514264385,STR
12,304.06505959619045,298.33376083204837,STR
13,314.1774967906878,301.52492957196444,STR
14,316.7339777134802,299.8013944239674,STR
15,261.4123943449205,254.88686328540393,STR
16,246.96896094126984,244.05687678572144,STR
17,282.3695129662467,277.1525178359486,STR
18,301.2618340092517,286.7384757192026,STR
19,153.67748910685748,158.92236299354667,TSU
20,214.34081016648204,210.91858222514833,STR
21,190.04881638234014,185.74213863597447,STR
22,140.43429446767678,139.07186240697416,STR
23,237.31282635497837,234.3067347204408,STR
24,278.5828581498182,281.2278624562494,TSU
25,292.04,,STR
