Minisector,ALO,RIC,Fastest
0,293.6317923641311,282.59905127961474,ALO
1,151.59169416278402,157.94177584017072,RIC
2,136.68888303955893,138.26180387777066,RIC
3,221.0967577232784,224.41703128021805,RIC
4,285.23380000000003,280.200170109899,ALO
5,280.49583561571717,282.8591606686693,RIC
6,136.58275762045926,141.64134013708355,RIC
7,136.72686591026837,138.61637713525798,RIC
8,135.64403532459767,138.8883145992908,RIC
9,179.95597213465848,179.11422288444783,ALO
10,130.82630094489355,122.5450103257572,ALO
11,117.23307650771709,118.13927382793786,RIC
12,161.99786249593183,161.98981627066559,ALO
13,266.6954664695886,264.2690027381523,ALO
14,288.60275254949494,283.5018571291428,ALO
15,146.71139038829858,139.15316189279002,ALO
16,206.3335643340606,203.56143779103377,ALO
17,167.40582067974768,162.58844517335172,ALO
18,271.40686342273307,266.6442954848935,ALO
19,298.52264177922905,289.5359427169524,ALO
20,313.1017542545455,302.55644923388667,ALO
21,321.5717354516452,310.761499968,ALO
22,324.6469576888889,313.3908333155556,ALO
23,326.70797622857145,315.7401458796312,ALO
24,321.9429834054834,313.6745022531602,ALO
25,,308.0,RIC
