Minisector,PER,NOR,Fastest
0,279.41859830787877,294.85579257824566,NOR
1,292.4420609105473,310.88268996208126,NOR
2,297.79032120117785,317.12822205155555,NOR
3,297.82619762229274,301.7560428152381,NOR
4,168.63010107598228,159.0908630941436,PER
5,203.43906475720163,198.51447352156373,PER
6,232.15823288318217,212.9500325185185,PER
7,263.89675268244895,256.8361716709849,PER
8,252.00902863480468,243.04690050521037,PER
9,155.18648475564004,150.52000475515646,PER
10,216.8773777542798,215.05214071430873,PER
11,131.39065860502163,124.89658212776537,PER
12,223.41815232433748,229.50036522975338,NOR
13,175.52635330521406,165.5139451763593,PER
14,211.91127697772984,211.46211212257734,PER
15,226.23423015902807,218.3858812310274,PER
16,255.61433201874894,249.11504681160815,PER
17,283.66484937142855,277.5650227918367,PER
18,153.14393744279113,148.55458101981213,PER
19,164.27727968170373,166.49095266333842,NOR
20,139.96438484401355,137.98408916444757,PER
21,153.58134135869707,147.87462925296376,PER
22,110.9591965904933,106.68240184452499,PER
23,217.58644956675323,218.6051107938909,NOR
24,263.40286845765047,257.9641094860516,PER
25,,273.02238086095235,NOR
