Minisector,HUL,GAS,Fastest
0,298.9879998933333,286.08754642719106,HUL
1,306.1179087557168,287.37241972705885,HUL
2,155.20041821165384,157.6686975950599,GAS
3,220.15622108645675,220.83842927238095,GAS
4,271.63987372997195,271.61496819865965,HUL
5,292.46357755981575,292.631126192535,GAS
6,294.89259691838953,296.50828107488326,GAS
7,173.97231337583068,167.6038419956989,HUL
8,121.91742381714286,120.55557453639835,HUL
9,250.0929606781355,245.6550775328254,HUL
10,285.22729575502245,284.57841683746034,HUL
11,294.17088886044445,293.71662083555555,HUL
12,139.79375838671297,148.88494377031282,GAS
13,189.42413661904763,189.4026407402198,HUL
14,253.708835978836,253.1881008193683,HUL
15,190.66267355300127,205.25769969097144,GAS
16,205.71966075154324,212.78782942371984,GAS
17,196.2275372857143,208.58710712,GAS
18,233.8479390939337,241.82852931795992,GAS
19,273.61065476190475,274.8321354352485,GAS
20,291.29334713405154,291.1772320163265,HUL
21,252.03508130901153,256.2775554350705,GAS
22,214.9848465001607,219.48606961986889,GAS
23,202.3079021932259,203.77793836312378,GAS
24,263.39024902577495,261.7908790735336,HUL
25,,278.225,GAS
