Minisector,PER,SAI,Fastest
0,286.40515393729436,271.92777757460317,PER
1,310.9216185682967,289.5650007117998,PER
2,316.9775934028011,290.7728999556036,PER
3,127.92709732958976,127.1935332479238,PER
4,204.50630314779542,209.7150908162014,SAI
5,261.6627587622605,253.92103240997733,PER
6,140.82235425688546,142.64181181484773,SAI
7,204.81763467294564,215.3906657706667,SAI
8,258.5031737904762,261.027958210027,SAI
9,282.64436036821394,278.3620836266667,PER
10,235.55235004768306,241.46168874609594,SAI
11,176.82230279111113,182.68212173490235,SAI
12,194.56278420689273,202.6867327517372,SAI
13,141.25201909713445,141.73807928888888,SAI
14,181.04950399492063,187.40424004500744,SAI
15,165.1873510730014,170.3943819857143,SAI
16,224.87187391111112,229.93870404074812,SAI
17,237.0515732604081,236.49120658008658,PER
18,240.42777355263775,248.22738029401492,SAI
19,233.49195288115942,216.04590768591683,PER
20,144.538954143841,153.71678157037036,SAI
21,134.4056100889055,126.45486263705631,PER
22,177.87638812444445,182.66638837333332,SAI
23,152.02683412214583,153.92892673022376,SAI
24,232.7527702626238,236.0262394031746,SAI
