Minisector,VER,LAW,Fastest
0,313.0249300945454,314.86271990891356,LAW
1,239.11125580060215,216.87211483078238,VER
2,133.00903303351043,128.19964133169324,VER
3,222.07111086814814,213.1982028158373,VER
4,266.98248891241434,261.8467103515844,VER
5,293.5279218346194,290.5954955962437,VER
6,309.1378039595828,308.62918256747696,VER
7,284.4645041756863,283.69659987606445,VER
8,175.34213218812462,170.44726884897867,VER
9,241.46318682373922,239.30574266006352,VER
10,274.61793762329637,270.78489401227404,VER
11,260.6290446682353,257.35020338147183,VER
12,210.62384405665324,199.4364780418612,VER
13,125.61400374621779,122.65283770057142,VER
14,123.84842381442586,123.71718345327332,VER
15,156.832334709506,154.64234680674937,VER
16,124.4088212451245,128.5994597194263,LAW
17,229.4544251668027,220.7742368457059,VER
18,186.91808807081406,167.78096418326385,VER
19,164.32442364014074,165.3397245087679,LAW
20,245.13143441955418,245.99740634854066,LAW
21,275.3228839068783,273.56884956882277,VER
22,294.1273563854912,294.9592101932242,LAW
23,306.29126107493767,315.01431447215685,LAW
24,311.7412202666667,327.331518927033,LAW
25,,331.95714194285716,LAW
