Minisector,SAI,LEC,Fastest
0,260.65726118310727,263.4322802365915,LEC
1,278.2020634311111,278.842438330005,LEC
2,283.7623631541853,284.0041207851313,LEC
3,134.58441517083853,135.02600406235544,LEC
4,190.6531060077073,187.70623632539363,SAI
5,251.72311414919673,254.28510553878027,LEC
6,140.1705407690261,140.24891406977264,LEC
7,206.47225317128445,210.21815989333334,LEC
8,253.9202932413673,255.31718365579832,LEC
9,274.3879563598763,275.5651384651852,LEC
10,229.94326530612247,231.66921911166762,LEC
11,174.64006311638803,179.7887360869136,LEC
12,184.0830597516957,186.71017509406735,LEC
13,146.62702400371387,139.48255443719736,SAI
14,165.06954966483275,174.61239285972718,LEC
15,155.37976157742506,156.81215230890385,LEC
16,213.5663785211538,210.22976840060986,SAI
17,230.7883005286627,229.2012282385965,SAI
18,232.88587850434683,232.45670136926339,SAI
19,234.31436181813663,245.94825656330158,LEC
20,144.15183240167764,142.1935983570712,SAI
21,132.05284974234132,142.1853151753454,LEC
22,166.5245836629218,159.62099535277255,SAI
23,147.8152508615787,145.40299654863526,SAI
24,227.40954851184156,216.55948735873017,SAI
25,,248.38333257142858,LEC
