Minisector,RAI,ALO,Fastest
0,299.07618435741057,297.05251435503084,RAI
1,157.1066173424036,160.11217731512755,ALO
2,157.87976104126983,153.15567752307572,RAI
3,216.13901273629216,220.69637258291158,ALO
4,283.11979202424243,282.26829732173917,RAI
5,295.0141974668618,287.16286492753625,RAI
6,145.7584024462385,143.469352737251,RAI
7,139.75593539448718,138.6472910593264,RAI
8,152.28689847887946,140.9797789330697,RAI
9,169.43433603084358,181.8344022247619,ALO
10,136.06053466230648,133.53323212030156,RAI
11,129.51287494568433,122.80125303587162,RAI
12,157.79074068142353,163.4553870631946,ALO
13,263.359417248,261.17923962886965,RAI
14,289.67585195151514,282.1962119757576,RAI
15,154.17336076285142,151.22291142945735,RAI
16,213.274633947995,204.09238405029416,RAI
17,159.6191866198843,168.38007338578913,ALO
18,264.79321342721215,264.420520086916,RAI
19,287.22492864262057,284.9605326738559,RAI
20,299.5282564882507,297.3395833212121,RAI
21,306.5339568181406,304.5392542877193,RAI
22,310.32066326349207,309.77321796872445,RAI
23,313.9,312.2692744707483,RAI
24,310.81090861026433,309.3544931278651,RAI
25,311.0,,RAI
