Minisector,BOT,LEC,Fastest
0,299.63077289689863,300.07112115980993,LEC
1,256.473633237357,255.04870790189997,BOT
2,206.43973042748584,208.32465320966776,LEC
3,268.2324823990324,270.94604991929276,LEC
4,232.91086275808013,237.69225140770902,LEC
5,120.13894721525126,118.50410388959139,BOT
6,186.4985680945533,177.68807350437723,BOT
7,260.3335592467559,257.6160603938775,BOT
8,288.8165651824973,287.43139449982186,BOT
9,302.7560567480626,300.5576687470987,BOT
10,305.71267345222697,305.85984260059206,LEC
11,226.9065046606665,247.55390337248613,LEC
12,146.40563560298574,143.5232644691907,BOT
13,255.967326752197,255.77880766546633,BOT
14,289.86559847005424,289.5433794132635,BOT
15,300.97179482557885,300.7179131380125,BOT
16,295.5488558327831,298.2160299275085,LEC
17,271.58183491742017,274.00289299880853,LEC
18,194.57285096621126,195.1667470470346,LEC
19,194.10825103340323,200.208339509576,LEC
20,191.01055244320315,185.42806571646094,BOT
21,252.4763853313687,256.86223058796367,LEC
22,129.62958706214403,135.36485630496654,LEC
23,197.96695056897644,184.98614394924994,BOT
24,276.4715993461131,275.92348137432214,BOT
25,,292.5187504,LEC
