Minisector,HAM,MAG,Fastest
0,241.5991905118139,238.59465882082426,HAM
1,272.99480868888884,270.4172393321265,HAM
2,164.78548052786877,175.124824667356,MAG
3,156.11247963010408,147.44351978374488,HAM
4,257.10391101162344,254.23261256916996,HAM
5,268.71839985608466,264.6710940203958,HAM
6,228.29249843090244,216.74386169516387,HAM
7,206.846226413525,192.44318421927466,HAM
8,155.78900160513166,149.02987173475935,HAM
9,214.91631792,206.4068294025178,HAM
10,271.19134969900017,265.48919103033955,HAM
11,124.76722094071431,121.13843780695723,HAM
12,207.33298875623933,202.28940129392728,HAM
13,269.76864197532336,264.2523449265151,HAM
14,289.7850141441847,286.6806844444444,HAM
15,296.6871520585621,295.05880301352704,HAM
16,234.0281714606105,249.41884517396826,MAG
17,136.99007309730158,132.3623185621884,HAM
18,135.36872174732306,128.84424519823628,HAM
19,122.04103168380696,118.65664468576395,HAM
20,223.3837534488445,219.47449056827926,HAM
21,257.98113519256054,252.60425884981686,HAM
22,229.95319685845888,230.63834090062775,MAG
23,215.17632294164557,196.85540971502095,HAM
24,137.51524645883833,131.6962209271947,HAM
25,,209.88888888888889,MAG
