Minisector,STR,OCO,Fastest
0,318.3669022898245,320.77381928663544,OCO
1,328.32298952469404,329.14311573333333,OCO
2,324.63456438787875,324.9343614060606,OCO
3,199.12405117555446,209.4695682546062,OCO
4,121.29095685790361,115.50079999280238,STR
5,267.1142180871739,262.1608770947474,STR
6,300.99427062222225,299.88041141091975,STR
7,315.77471538881986,311.6298261561511,STR
8,291.37593367767164,284.49633339733333,STR
9,146.19877973861597,143.9902232087871,STR
10,225.63938513744102,221.1139725846966,STR
11,219.7262724798248,220.35186416930551,OCO
12,200.9000393270321,201.39563672294526,OCO
13,269.2721171785724,267.5479478511665,STR
14,304.87269694409935,304.15036266666664,STR
15,316.56845664894996,315.80985405501,STR
16,267.593362962963,268.50129542312925,OCO
17,205.5177727678754,204.18352602776267,STR
18,272.60936490421125,270.04492633229506,STR
19,305.39148507826087,304.8587737200931,STR
20,319.67686137596644,316.7663043710145,STR
21,310.90572952315864,307.32411907094087,STR
22,210.42164123196903,209.40204455914275,STR
23,262.9471723809524,263.6968743736607,OCO
24,301.5249841498183,301.97736310533617,OCO
25,,315.6041664,OCO
