Minisector,RUS,HAM,Fastest
0,261.3494180942203,257.1647344252217,RUS
1,134.22331234128586,133.99826054849447,RUS
2,267.45982472135864,265.8352521673143,RUS
3,309.35808660540954,308.4613393035944,RUS
4,310.6730780369358,307.9417235022222,RUS
5,321.3169882132996,316.90847477008253,RUS
6,326.42553007721847,322.4539055768167,RUS
7,328.5512137708212,323.0690809742857,RUS
8,204.14865607869336,214.54189210543515,HAM
9,197.39084656568437,199.0181390207557,HAM
10,181.35876273155947,190.06428489546389,HAM
11,167.70494646426397,168.38957302669328,HAM
12,254.61958754481566,253.5705147797472,RUS
13,280.09781174925973,281.9207074955102,HAM
14,284.1654798973698,286.1399888482078,HAM
15,283.9267440344472,279.97089167601945,RUS
16,169.15766934060946,171.37893306691828,HAM
17,195.66273879334022,194.81501464697092,RUS
18,246.33404215288888,245.8413412419867,RUS
19,290.3519803005257,291.25279416945125,HAM
20,312.60589864589775,310.3961327761606,RUS
21,319.7235117661453,316.4650000178882,RUS
22,318.04996997147697,314.6914819915018,RUS
23,270.51376695848205,286.3385658250885,HAM
24,116.42936013120958,114.38283809741283,RUS
25,,228.2101558,HAM
