Minisector,PIA,HAM,Fastest
0,280.4419327417787,285.42647123002797,HAM
1,124.64506921535235,121.66221918653517,PIA
2,167.0414499046425,164.17509643753215,PIA
3,211.62049671736494,211.48037165820105,PIA
4,170.01615076405537,160.3216319193896,PIA
5,243.2307273709091,244.04134099047621,HAM
6,227.63135581875903,210.40232670979475,PIA
7,134.0354294105884,139.0561502725354,HAM
8,232.88516225871345,234.87419232725026,HAM
9,285.02199761608466,277.4582041,PIA
10,295.2578152251893,287.5515969975655,PIA
11,154.05072631266768,153.90030215050072,PIA
12,225.63490629775248,223.83240868172336,PIA
13,271.18502838812617,272.46166568084465,HAM
14,258.4838387737143,266.8723917173754,HAM
15,100.41898412597871,98.62473555566947,PIA
16,219.54855130590545,223.0830970941203,HAM
17,281.1316965561905,272.07243735278496,PIA
18,303.459851147619,293.24861730509804,PIA
19,319.7932158094515,304.79982640000003,PIA
20,325.46010042380954,309.72232969479325,PIA
21,280.2669423077694,290.6926264667244,HAM
22,152.6478985535719,155.28805848638493,HAM
23,240.86371588969425,235.44653254824635,PIA
24,289.1569993539589,277.28210818362425,PIA
25,299.8571428571429,,PIA
