Minisector,VET,BOT,Fastest
0,285.40509549559346,274.77508282457035,VET
1,304.2627110696869,293.4104400935685,VET
2,299.81416741797705,287.6460960388357,VET
3,172.00605653461201,173.66750620468065,BOT
4,116.10401491337133,117.25738271131974,BOT
5,244.38524644721525,233.55827249165205,VET
6,300.19752678047155,282.5497837503962,VET
7,321.07299709572305,296.60636226405006,VET
8,160.1484387245068,163.97354476052706,BOT
9,142.33645096086468,141.5607239736611,VET
10,251.9361761337389,251.26506804587447,VET
11,287.2139697592842,286.78120648296147,VET
12,296.22773304242423,295.9152726194697,VET
13,276.59713897490155,280.588325212243,BOT
14,297.8377410593424,298.2920144477172,BOT
15,294.54726131362855,298.11151098001943,BOT
16,248.8256373126376,248.421170603554,VET
17,221.95523115754963,224.49328671531475,BOT
18,279.2284940919358,277.61662257680183,VET
19,301.66002723301193,300.79292886636506,VET
20,308.36853837936206,300.4415309970538,VET
21,227.8447056087309,230.6412894328346,BOT
22,258.76500848963235,257.21617794960986,VET
23,143.49499787992062,138.4482792235471,VET
24,213.32179020968215,218.951242333865,BOT
25,254.95000106666666,,VET
