Minisector,ALO,OCO,Fastest
0,260.25618430139366,258.5583844053907,ALO
1,133.15966660533485,129.73181278497415,ALO
2,268.39036502521793,268.12785255249963,ALO
3,308.86505852562897,312.0495447589234,OCO
4,308.69929043106225,313.0208553521357,OCO
5,314.88872689185183,321.99086123377776,OCO
6,317.18676666880003,327.0319588703704,OCO
7,317.8313595753992,322.4025181078261,OCO
8,198.35839388488995,204.33228919176258,OCO
9,204.27235432715344,203.76574608079736,ALO
10,177.53069941804966,182.2906429076133,OCO
11,167.8732588239444,174.01348542925064,OCO
12,253.81300359339824,256.90138155084486,OCO
13,273.82498529429574,272.4164174716699,ALO
14,282.2945184994855,280.662287249418,ALO
15,258.68881917535333,267.8653483150667,OCO
16,167.32411685695124,173.0268704497315,OCO
17,195.35347388493517,189.41271219265207,ALO
18,245.67255471873807,249.75550506542982,OCO
19,288.59602171887155,292.60252016937727,OCO
20,306.9341234800905,313.8797283825785,OCO
21,312.3709095920497,320.80357499362316,OCO
22,309.64803558772485,316.08751939875776,OCO
23,249.35115275533852,251.81445593845868,OCO
24,118.65666891058139,122.56637448341984,OCO
25,231.54166933333335,,ALO
