Minisector,ALO,OCO,Fastest
0,303.2877589555073,304.8300306217989,OCO
1,215.88595791227053,212.63717159695238,ALO
2,131.2421071079162,129.2361156007874,ALO
3,218.78494396919788,218.50114088877845,ALO
4,264.286870075739,262.7416516967313,ALO
5,288.69006099666666,285.78631952748486,ALO
6,295.6538807508497,298.62224696190475,OCO
7,257.71132075202064,251.83096997345015,ALO
8,171.53207560799308,164.35343368926127,ALO
9,240.38311140567924,238.97318410831,ALO
10,268.0211468265793,268.0287879981159,OCO
11,259.6007849356725,256.32752017203006,ALO
12,206.2024606429807,205.71755953020403,ALO
13,124.43437185975549,122.45276319555897,ALO
14,125.02678993691562,121.22991435649702,ALO
15,160.50673848356797,148.42486691695515,ALO
16,123.17550473196324,121.88320177915058,ALO
17,226.50242732946532,224.77785033816915,ALO
18,173.0156545219614,157.82798563944974,ALO
19,162.7649513367119,159.26494515164939,ALO
20,244.47506570333334,243.3038653804831,ALO
21,271.8005329766261,270.9467765395571,ALO
22,293.4030633720635,289.8459123961905,ALO
23,312.34130318933336,299.15270799111113,ALO
24,323.27148432285713,305.9395684355657,ALO
25,327.0,,ALO
