Minisector,HAM,OCO,Fastest
0,286.12484583672517,292.66851165201786,OCO
1,289.5014498294612,297.347984628254,OCO
2,171.75073935952815,159.0695110885255,HAM
3,224.53462861687785,219.6282436087092,HAM
4,270.80764398571426,274.9376758449707,OCO
5,291.34841477235767,302.6032995856054,OCO
6,294.9640283835828,308.93651721094875,OCO
7,168.47631374216112,180.32654475586406,OCO
8,124.42911916941904,121.02020417238572,HAM
9,246.63255778285716,245.7441446463987,HAM
10,282.8187104474272,289.18467705044753,OCO
11,294.82546732952386,298.2243064888889,OCO
12,136.64678131355458,142.74180893942398,OCO
13,194.1077834001517,190.12148833260073,HAM
14,256.8367627115458,247.6436261298805,HAM
15,191.26800949371636,197.27771367150183,OCO
16,217.30149687329663,203.4740856082732,HAM
17,210.40134839731093,203.3547435502301,HAM
18,240.53083779794775,236.33166854666666,HAM
19,274.59449708095696,270.84691011048733,HAM
20,292.0356724850356,286.4308598027068,HAM
21,258.89404171286526,260.84216672661586,OCO
22,225.2635017324043,223.5928067840397,HAM
23,200.17262941822474,192.54005797931504,HAM
24,259.6657084776419,256.58477041969627,HAM
25,275.7656256,272.52343600000006,HAM
