Minisector,SAI,BOT,Fastest
0,283.6610410230303,291.9668135193074,BOT
1,295.6253430016072,307.99184997399414,BOT
2,302.7052844566225,315.7797181124183,BOT
3,296.4710566086274,305.8855074116402,BOT
4,158.02471191523955,158.7099092050373,BOT
5,201.32018463661916,196.65783638934775,SAI
6,223.46757703721164,221.00897482418338,SAI
7,260.8373244618182,259.8398261090909,SAI
8,245.29087202502367,233.23529009168524,SAI
9,145.24562160211076,148.92379087199998,BOT
10,217.54214377967534,212.8320199137136,SAI
11,124.8688880066886,126.61576355593395,BOT
12,234.6074109037037,221.3854150448485,SAI
13,166.99841686180207,169.52162771761,BOT
14,209.38718135181955,203.42065265896102,SAI
15,221.900508672,213.94176966172017,SAI
16,253.84299220899607,247.6182845939394,SAI
17,284.13456852531255,276.6929669149912,SAI
18,144.3907067091724,150.18947140113065,BOT
19,161.38023703843115,156.81484067095238,SAI
20,129.96081299054904,133.7572784856508,BOT
21,145.80415794161289,148.83689595793652,BOT
22,107.56673963202822,105.99489188312096,SAI
23,214.7942949035046,206.05556442802754,SAI
24,262.8776686029712,259.46779970446283,SAI
25,277.2624992,272.9937488,SAI
