Minisector,RIC,VER,Fastest
0,318.83753837754847,332.36087096942356,VER
1,326.5250000197531,337.8958333192982,VER
2,321.6641516356525,339.04999999999995,VER
3,174.32260051685972,172.06189122729296,RIC
4,136.1162229164021,134.2549300836439,RIC
5,268.8394498230008,268.13019328003185,RIC
6,300.0150977800866,299.9475,RIC
7,307.6202082666667,307.7342292128621,VER
8,255.54525966984127,256.7234375,VER
9,155.80365021676747,152.54419081948745,RIC
10,224.42520517530863,221.2195533202143,RIC
11,231.2819008488692,231.05826374790675,RIC
12,206.31245853904056,199.75151728456356,RIC
13,274.5081525797101,273.0575567436853,RIC
14,306.65804756087033,307.8847421023159,VER
15,315.07312496,319.99583336296297,VER
16,254.5972655712956,260.8842379459048,VER
17,215.3016709924757,215.71498454273177,VER
18,277.5600112138528,277.7324458020994,VER
19,307.78396305189756,309.5158534806326,VER
20,316.09642858345865,323.4682016481203,VER
21,297.8257955555556,302.1805555301587,VER
22,213.8611907214319,218.95023811067534,VER
23,268.7302126836959,271.4540904212873,VER
24,303.3657879147392,306.2464226843079,VER
25,,316.4166656,VER
