Minisector,GAS,NOR,Fastest
0,273.6565886489591,278.3820327958453,NOR
1,298.37691579469333,301.28946051764706,NOR
2,309.98823504313725,313.6059522330532,NOR
3,316.2509802039216,321.62426453333336,NOR
4,320.2401960336134,325.77199934365484,NOR
5,321.0041669019608,327.7318627137255,NOR
6,210.05469160834983,209.54241437128138,GAS
7,108.71982469054171,106.53783603086355,GAS
8,183.8314342559291,187.50397277906254,NOR
9,263.99636396158706,264.7958328090703,NOR
10,291.6379381894737,294.6775058911673,NOR
11,170.39950670981005,159.22234868244897,GAS
12,98.12008511858693,99.70074773022563,NOR
13,116.06462531906068,115.64198731736658,GAS
14,221.54230697002683,222.18422587936507,NOR
15,188.1714283809524,187.72261770325701,GAS
16,224.59983665764491,223.73023808609523,GAS
17,181.30281800126983,183.11158358223355,NOR
18,241.3590965128022,243.6168644063492,NOR
19,281.8323300170426,283.25460502456144,NOR
20,250.72058016507938,240.62033501502202,GAS
21,145.85522701154468,143.55340653544974,GAS
22,97.92724274157483,95.43683043742433,GAS
23,125.64913465770543,125.25478515784553,GAS
24,224.27300562893984,232.34039795942027,NOR
25,257.24999679999996,,GAS
