Minisector,RAI,HUL,Fastest
0,251.85190692763356,250.16516877366743,RAI
1,284.73956911733137,283.17166682666664,RAI
2,174.1123178498277,162.2277698728706,RAI
3,163.47008506389201,168.6215448643127,HUL
4,259.6621216,253.936418008658,RAI
5,275.33842229526715,265.40978188535564,RAI
6,233.553624544,226.7709622645722,RAI
7,207.0642310181695,200.10045976937982,RAI
8,164.95899654965987,161.08578916245605,RAI
9,220.74372692546757,227.71165630058766,HUL
10,271.24325424761906,268.91176314920637,RAI
11,133.67001242424033,127.24012777799298,RAI
12,216.64014606987436,217.37289390341337,HUL
13,278.35479057414966,277.2116782294785,RAI
14,299.17828951578946,295.51562512,RAI
15,305.53636911238095,301.97925484127546,RAI
16,242.6845228312381,215.8735487937191,RAI
17,130.09848273971312,130.0389205684042,RAI
18,127.39687796069963,134.79753369887695,HUL
19,118.80030932227494,120.71796609990282,HUL
20,227.16664952144532,223.76907093333332,RAI
21,253.7528987826087,253.78500328502244,HUL
22,236.8107231058349,224.0522429948718,RAI
23,217.08155182275016,211.08719640209446,RAI
24,137.0385676948276,137.90206174463083,HUL
