Minisector,RUS,SAI,Fastest
0,275.80130517238564,277.210995002963,SAI
1,299.7228269073302,301.2312342095238,SAI
2,298.02484026177444,302.1008333866667,SAI
3,174.47677096527585,174.2084871397666,RUS
4,117.24324141092235,114.99169761111384,RUS
5,232.862470593204,236.8621804245754,SAI
6,291.3266953875441,286.3926696153689,RUS
7,310.4321728200867,304.39797607064935,RUS
8,173.06411174276968,176.76019114632146,SAI
9,136.12902455238952,134.29716282208875,RUS
10,247.71966454970018,247.44801752745764,RUS
11,289.5451546331653,291.21585879149296,SAI
12,303.50462308622224,304.35892374518517,SAI
13,281.7539099540072,285.15947546314453,SAI
14,298.4671053152882,295.86307011929824,RUS
15,299.00580799353537,295.6015391755514,RUS
16,249.80988220181717,253.48336659479696,SAI
17,226.16972245772075,221.27032088620103,RUS
18,281.70112498649934,276.7579756365945,RUS
19,313.30346329212125,301.79921634982946,RUS
20,320.88692719914724,309.3400228116959,RUS
21,220.07810825536944,225.19530690286228,SAI
22,252.983890507475,258.7245825415385,SAI
23,130.80740097106155,128.71650504378624,RUS
24,204.79574384927244,203.05529735757807,RUS
25,256.48125120000003,255.8166656,RUS
