Minisector,NOR,BOT,Fastest
0,317.278491569733,316.1644002429052,NOR
1,325.23510104,325.2021963687619,NOR
2,329.18408228786035,322.45658109014073,NOR
3,192.17159214192088,189.82981070506028,NOR
4,116.18429370933603,120.87733748637532,BOT
5,260.6992463074544,262.6141516266667,BOT
6,297.3768253635401,296.51432892563736,NOR
7,307.61430559999997,311.45452418315784,BOT
8,268.1803637664303,279.968289947013,BOT
9,137.99466666888114,135.13972094478555,NOR
10,210.01142909943243,208.45359658709285,NOR
11,205.44852193658474,206.78742968271257,BOT
12,185.36747911419826,188.6164594981108,BOT
13,268.36743666834286,262.8506451126022,NOR
14,309.12707611111745,299.7035879555555,NOR
15,327.8204943571386,314.06922221511115,NOR
16,261.41121933824707,258.41910765393175,NOR
17,209.37432481487775,200.86173571680317,NOR
18,267.65184394913354,266.99956803675275,NOR
19,303.8041488842914,303.4257566,NOR
20,313.1998819470899,315.2210597925471,BOT
21,292.6419188716178,301.5641743046465,BOT
22,199.81095867690476,197.26615078676565,NOR
23,259.4250511967543,262.22151729490685,BOT
24,298.7385074688889,298.32213910150966,NOR
25,,309.24375,BOT
