Minisector,RAI,SAI,Fastest
0,279.96943692917915,274.28458615155984,RAI
1,237.3685890880026,228.3173509802036,RAI
2,116.10882243382306,115.86228411474036,RAI
3,193.09854381152147,185.91873757731798,RAI
4,180.425647554406,176.11241600345585,RAI
5,217.34015440007988,212.97788343780212,RAI
6,281.8195577751095,270.1955381766947,RAI
7,299.599103790593,286.99691645826584,RAI
8,184.98431968929765,180.30791457738886,RAI
9,130.4734500989129,129.44388453438282,RAI
10,132.2724928877548,135.27413779586803,SAI
11,191.36019933188226,192.4117579715819,SAI
12,224.2261421087629,224.8415888324374,SAI
13,130.56841971667905,129.58920160769063,RAI
14,156.00531255668483,160.4896775179555,SAI
15,122.00103244792527,118.35744668380099,RAI
16,256.8982223458857,250.31680430052992,RAI
17,146.07677050392246,149.11267485951487,SAI
18,200.35156632063547,196.8683963552881,RAI
19,136.94685954284728,128.66553812397615,RAI
20,148.7638666087017,151.2996025045744,SAI
21,126.45335384760816,124.43777704352705,RAI
22,142.28052678359066,142.78573759064867,SAI
23,217.44429604737337,216.9059974734106,RAI
24,230.47488323701455,231.2066560654147,SAI
25,263.04166933333335,,RAI
