Minisector,ALB,NOR,Fastest
0,284.9950961342404,291.83077241021596,NOR
1,291.58442986666665,303.08261266766914,NOR
2,294.23289465263156,309.3583958536341,NOR
3,288.2905906213152,296.4978686197715,NOR
4,171.88385482857143,163.72214290285714,ALB
5,207.6349325792256,210.85850204507412,NOR
6,226.47645189485712,234.74349926399998,NOR
7,260.5751300350901,267.13294835459226,NOR
8,252.4770968712215,244.17327430062113,ALB
9,165.16823431711865,164.3208511273634,ALB
10,226.4825600335238,229.50588210590476,NOR
11,136.736913326342,134.06960078198617,ALB
12,227.75066530133333,231.51165502857143,NOR
13,193.02311525286467,180.75264918853026,ALB
14,215.66856564395604,220.57499864615386,NOR
15,238.97096532123018,245.89726679992862,NOR
16,257.0784415536232,266.4998100363636,NOR
17,278.59328333981836,289.91984377333335,NOR
18,132.39392679314696,119.09019398497776,ALB
19,162.55017938543216,162.5021495993049,ALB
20,149.84927916520226,151.69846408421054,NOR
21,164.34244123428573,149.81358163301587,ALB
22,118.90676670205205,116.50726224559767,ALB
23,225.88366549333333,233.39216569295237,NOR
24,267.1811895537482,279.55550512308866,NOR
25,280.7083328,,ALB
