Minisector,NOR,RIC,Fastest
0,306.72548261351227,295.20354176,NOR
1,308.03273700392157,293.9333528819411,NOR
2,157.90196212571385,158.76558393940746,RIC
3,230.32560933333335,230.38242828985506,RIC
4,285.86186896906867,283.83734335839597,NOR
5,312.5110264454188,309.3495798588235,NOR
6,317.9813724235294,315.4269956929972,NOR
7,162.11708404400724,172.174375,RIC
8,138.9958343063063,130.45246738791562,NOR
9,250.20740423645103,248.56704545454548,NOR
10,285.5026787301588,281.68327099348375,NOR
11,291.9230426101824,286.41203703703707,NOR
12,147.2589967361325,152.07333344,RIC
13,201.36694580763395,197.60572749732387,NOR
14,257.88439428684205,256.96405900770975,NOR
15,203.43016928395062,206.5362411535187,RIC
16,229.93200716511802,225.23266666666666,NOR
17,223.41014391746032,219.5204857777778,NOR
18,251.11243315596735,246.9074372565176,NOR
19,276.9950387989376,274.45333349333333,NOR
20,288.60745616842104,287.75443673420483,NOR
21,257.5371877877551,260.3676255149455,RIC
22,220.41051877240398,227.89357586666665,RIC
23,213.73919538818046,207.03332218127116,NOR
24,269.2498252184418,261.4622917866667,NOR
25,,282.10833422222225,RIC
