Minisector,RUS,HAM,Fastest
0,303.54930083321904,304.1606330743936,HAM
1,140.81160078486857,146.28869769605777,HAM
2,215.67041669333335,212.72294173175612,RUS
3,274.8898393946149,276.9847508384416,HAM
4,312.91494047577027,313.5411788098927,HAM
5,319.5001468302792,323.8099100612615,HAM
6,150.73846895131675,148.67236482190708,RUS
7,246.23947447641325,247.2873942708265,HAM
8,120.05506878163062,126.93754926055152,HAM
9,130.8947958883589,143.84973257448067,HAM
10,267.8922547162138,268.03624781103423,HAM
11,299.26378213818185,297.7002742209524,RUS
12,259.14005094352007,262.84407143368395,HAM
13,155.98986832756384,152.68856592964653,RUS
14,267.73671003437454,266.944806070876,RUS
15,304.41666211601733,305.9411815478324,HAM
16,319.8615603153623,322.60017941243757,HAM
17,330.6509482076564,332.06843170285714,HAM
18,335.8096102508642,337.29008933333336,HAM
19,335.3368985498413,336.7910739117255,HAM
20,239.83431099908287,230.62961354311045,RUS
21,149.05805223321715,150.0062664357641,HAM
22,271.6831873484058,272.61443117180323,HAM
23,308.66782079125977,309.85940537627704,HAM
24,324.4693523428571,324.7323351089324,HAM
25,324.0,321.4124992,RUS
