Minisector,LEC,NOR,Fastest
0,274.74245917460314,278.3820327958453,NOR
1,300.52107783529414,301.28946051764706,NOR
2,313.56923017772976,313.6059522330532,NOR
3,320.7252602666667,321.62426453333336,NOR
4,324.8073529098039,325.77199934365484,NOR
5,326.34557293333336,327.7318627137255,NOR
6,225.53208668171828,205.8981549467449,LEC
7,107.23951883439015,106.37275936481414,LEC
8,176.72075165968255,187.50397277906254,NOR
9,260.6449847703096,264.7958328090703,NOR
10,291.8781941847464,294.6775058911673,NOR
11,190.39211725714287,156.9703389968254,LEC
12,95.52669039588751,100.26338824386342,NOR
13,111.61375296778115,116.1658654802772,NOR
14,224.28780443818096,220.6568568441905,LEC
15,186.37116402199567,189.85082764242642,NOR
16,230.39621178874458,224.4323241805383,LEC
17,182.88867964460832,183.11158358223355,NOR
18,237.77380790995673,244.82348416969697,NOR
19,279.6642573954985,283.981944237037,NOR
20,263.1916704,232.6635416644869,LEC
21,147.38200914057683,139.55899101468754,LEC
22,97.28495207894251,95.9565359742652,LEC
23,124.4275052580288,128.77795581150406,NOR
24,224.14489533913752,235.42995966984125,NOR
25,258.1166634666667,,LEC
