Minisector,HAM,HUL,Fastest
0,297.7533770178958,313.1845405401212,HUL
1,225.03533011674662,210.6330800558422,HAM
2,231.41943866920926,228.55476177191696,HAM
3,277.29851057012576,283.3524326431746,HUL
4,247.73490686788767,239.4236491798335,HAM
5,130.5431826382074,125.56934918905775,HAM
6,212.74547124370116,210.34122720013852,HAM
7,262.2047462460229,260.6374270815584,HAM
8,254.56326635267826,250.09482909496597,HAM
9,244.2700701465819,239.92832504160367,HAM
10,274.57708633293123,278.5029092566082,HUL
11,290.8835490457143,295.191996663853,HUL
12,297.698206054321,310.15741516663104,HUL
13,300.9802400875176,323.39876453426905,HUL
14,296.2762999707268,324.5781578105263,HUL
15,258.70694973308593,249.79311722271606,HAM
16,249.32064895629716,240.23438877541508,HAM
17,278.3891690057836,283.4681165732756,HUL
18,289.97823529809017,304.77872185926464,HUL
19,159.10792780021973,159.57255290319165,HUL
20,212.0191228160031,206.82026700219782,HAM
21,204.7820179439653,179.18115768309784,HAM
22,136.55771370105015,140.90617359021593,HUL
23,243.95849424241646,238.05249756874838,HAM
24,280.3081356504473,293.46389908266667,HUL
25,,309.45357074285715,HUL
