Minisector,ALO,RUS,Fastest
0,293.0069773371928,296.1496685717749,RUS
1,302.27758514781334,299.36093753333336,ALO
2,283.61384314805196,280.2508299765656,ALO
3,107.39538551425983,108.54469853185445,RUS
4,216.23740304212558,217.9872219260451,RUS
5,268.4374090727144,271.38253159663867,RUS
6,210.34394730020202,216.1901104648526,RUS
7,158.85062010210817,153.39168907260768,ALO
8,205.5177236136073,190.95267875809523,ALO
9,218.23608989460317,199.56125938306639,ALO
10,111.44535749974469,117.12760185848147,RUS
11,227.06326542849035,229.0737341908779,RUS
12,112.50517530584742,116.52243847960344,RUS
13,208.5011818686984,211.20890881142878,RUS
14,280.8530401029864,270.1467727544836,ALO
15,213.47461207958202,228.98907986713246,RUS
16,191.95608668020867,171.27480371330614,ALO
17,250.37905886042327,232.99149546400542,ALO
18,189.917186751439,206.88029047608907,RUS
19,175.83710832669553,171.36134925365414,ALO
20,261.06107962758097,261.6957037789321,RUS
21,290.4767458613564,291.15989974937344,RUS
22,166.40794381795092,182.7274178078368,RUS
23,209.20367448380952,189.83041713319096,ALO
24,275.15442051288267,269.307705521039,ALO
25,292.8687488,286.3500002133334,ALO
