Minisector,NOR,PER,Fastest
0,245.2543014878619,244.31323568953712,NOR
1,280.9810359564384,277.366944167718,NOR
2,167.1880142485154,180.2238389281439,PER
3,151.207073550628,148.79709163705834,NOR
4,255.85633645624668,254.62159997384754,NOR
5,267.0041612770724,265.7395781735727,NOR
6,225.32250002251337,225.6239092530939,PER
7,201.56411788068206,204.54279634708416,PER
8,155.67929457443637,154.6973573579214,NOR
9,207.18905086918588,211.34202368580287,PER
10,270.44718790877783,268.47950147053604,NOR
11,122.51320190543674,120.20099835507526,NOR
12,206.01671908981882,206.35126321582035,PER
13,278.63773774025975,269.9658383157057,NOR
14,312.5108609999287,290.9664013206509,NOR
15,329.23249996235296,298.55897340754484,NOR
16,266.5537522226087,234.5636232035035,NOR
17,124.64384985734941,134.18440226210797,PER
18,129.5204165762816,133.53158593629354,PER
19,121.5487745156825,120.72923534987616,NOR
20,223.80552882800814,223.7183676804127,NOR
21,254.0863593057331,255.63525462962966,PER
22,236.48905691170697,236.30858131213157,NOR
23,215.95953479799283,209.18773867571605,NOR
24,135.4004072917157,139.84716572575346,PER
25,210.359372,,NOR
