Minisector,BOT,LEC,Fastest
0,287.553081707563,287.94632445490197,LEC
1,136.2684770995889,124.54855191436475,BOT
2,155.52211814632577,162.48960471814394,LEC
3,223.8990559080015,216.0029123243114,BOT
4,167.38339763451478,161.75411765210728,BOT
5,245.47896719555692,243.94362768192744,BOT
6,225.00416789333335,212.61564155151515,BOT
7,138.1612749490196,136.48965634636517,BOT
8,235.12416602666667,234.1251552481203,BOT
9,277.2435112346717,276.0074649190044,BOT
10,286.45807386666667,285.07055720296296,BOT
11,151.9737194961511,148.40793505285873,BOT
12,220.56541685333332,218.31081194920634,BOT
13,270.65980878127954,267.6710778352941,BOT
14,272.75882202352943,271.50625639764326,BOT
15,105.50541804657988,102.19460266246588,BOT
16,218.5573684182224,218.78789597460317,LEC
17,271.27968516285944,270.5388881777778,BOT
18,293.1841148,292.72499758603624,BOT
19,304.5282937498413,304.1880553955555,BOT
20,310.9295771270296,309.95166656000004,BOT
21,295.0631298761905,280.107679159399,BOT
22,157.24515371556672,149.6152176711111,BOT
23,232.5189359458854,234.120485724025,LEC
24,276.56586178151264,277.4215683764706,LEC
25,287.14285714285717,288.94999893333335,LEC
