Minisector,RUS,LIN,Fastest
0,299.55114181925927,298.4295430523996,RUS
1,218.62849319418027,206.3799578845019,RUS
2,206.08529499979798,222.46491459809525,LIN
3,268.2867103638247,272.2452286695554,LIN
4,234.17723596772487,243.55625185026912,LIN
5,122.94633359564955,120.68529544921466,RUS
6,207.2913910418328,195.28803196685047,RUS
7,240.4242419668687,242.54943145281382,LIN
8,238.69029375542752,232.9180989249624,RUS
9,222.9864385590062,226.89133112310893,LIN
10,277.22054400438327,280.2738572791939,LIN
11,308.03365338085183,306.71243342374356,RUS
12,319.8874998736842,322.7227055090762,LIN
13,321.84714592144934,324.53675700697977,LIN
14,314.87452402539685,316.9604338646926,LIN
15,248.87005463219998,242.3138874179932,RUS
16,229.65115355115987,223.18971626620493,RUS
17,282.0817328279035,275.36376396557256,RUS
18,291.931050885545,290.3710455278499,RUS
19,159.68241253353793,155.89682112194197,RUS
20,196.88795730592977,187.33414531420877,RUS
21,189.00188637218506,182.46264962121003,RUS
22,129.03885124817162,122.58752247001047,RUS
23,227.36689418184207,226.81808409665484,RUS
24,268.9503010488363,283.91584037243916,LIN
25,291.93457085299855,293.7775184,LIN
