Minisector,ALO,TSU,Fastest
0,253.5076335395918,250.41334078375723,ALO
1,121.72490130407127,123.19604049282337,TSU
2,257.3421286236125,259.84776449937857,TSU
3,303.60898271067845,304.1270347976,TSU
4,302.61839894456654,304.17733514432234,TSU
5,307.44791659259255,311.09455318574544,TSU
6,310.02517529757665,317.3273555683556,TSU
7,309.0062265965958,319.54070638526986,TSU
8,185.84617186997752,179.90679190793477,ALO
9,188.76778406120823,185.70144434625334,ALO
10,172.0624140104735,179.59814130610408,TSU
11,172.01270779223077,161.55724845536622,ALO
12,255.08292896355553,248.91603760900432,ALO
13,273.7235950813689,271.1374771952442,ALO
14,277.37380228295234,269.20599110068963,ALO
15,268.7237548523174,266.7832919614579,ALO
16,180.24929835397188,172.80031866711818,ALO
17,183.4153414374603,180.61906929875167,ALO
18,234.2436658935238,227.59697084146939,ALO
19,285.4143850542945,282.6441903604726,ALO
20,307.52298270650857,308.1467787011389,TSU
21,314.5715469818093,316.2952164557715,TSU
22,313.07003716285715,316.6511001881992,TSU
23,247.98645416654162,266.04886264589,TSU
24,103.35168891393054,104.73134169419849,TSU
25,223.05249472,220.3781232,ALO
