Minisector,SAI,HAM,Fastest
0,289.7887316785708,296.38773448666666,HAM
1,245.6184971634568,227.37716747172072,SAI
2,130.11966502225917,132.22198395474837,HAM
3,238.46545921325702,229.64466074120438,SAI
4,188.53221871422443,189.4025660835324,HAM
5,251.58824452022836,238.7958517123664,SAI
6,240.16540428342026,224.04213114838709,SAI
7,251.7720232925836,258.5381645632655,HAM
8,280.5749485221978,285.88609453084445,HAM
9,205.53324418222172,201.87294112577416,SAI
10,200.092534887092,204.43982159788382,HAM
11,269.4866069265306,270.0540667893219,HAM
12,207.74006791222308,203.21101547822474,SAI
13,251.82408006876085,244.57946119265307,SAI
14,288.5587712853837,285.2902586852321,SAI
15,302.4702980888889,301.2580499398337,SAI
16,301.73343771555557,303.4299603088849,HAM
17,237.660145884329,232.09592358524864,SAI
18,267.4881232885197,262.93827526396103,SAI
19,293.8115804814815,291.8559753922818,SAI
20,304.9969787885714,303.1731364830883,SAI
21,301.72865522274174,302.48938395529274,HAM
22,157.18959309640633,154.0218289682035,SAI
23,230.97104592946127,234.01022748133414,HAM
24,280.72773634058626,281.798179222827,HAM
