Minisector,RAI,RIC,Fastest
0,327.1565733116949,312.24769650516885,RAI
1,225.13508566936534,227.99111393733511,RIC
2,130.93833792289976,138.56809320433877,RIC
3,221.0607316474277,223.52459124040448,RIC
4,265.84619328164945,263.7891964509455,RAI
5,297.3308627696749,288.42916613333335,RAI
6,318.82876862316226,304.7641091588552,RAI
7,276.8146889711096,271.9707471337989,RAI
8,166.214400694095,174.97539490564492,RIC
9,241.21644755087718,242.95691311116784,RIC
10,275.6758429298261,273.7533650800445,RAI
11,260.9537729083216,256.7547177275071,RAI
12,204.04970972161323,202.80995516634582,RAI
13,125.1846751342852,128.06187824132732,RIC
14,123.94956658677084,125.73762611765768,RIC
15,163.0820101812421,169.83314360194953,RIC
16,121.87363151546364,124.01815981852731,RIC
17,231.57772808776204,223.8774275659569,RAI
18,176.61885939669517,189.11301445990085,RIC
19,164.32394896135122,161.85487534507413,RAI
20,249.3042778741994,246.53001422778115,RAI
21,277.80041093605297,275.8361907909546,RAI
22,295.99580674833777,292.86111630237866,RAI
23,312.0668498426288,303.0467328644764,RAI
24,323.02867727800464,308.9322634657954,RAI
25,,311.0,RIC
