Minisector,VER,BOT,Fastest
0,285.97583047978196,286.99722960380956,BOT
1,160.00610524202483,148.21191287496853,VER
2,172.8294051410101,166.2261102419853,VER
3,249.60761829159512,244.98149179193678,VER
4,282.4969195160091,279.5763065837968,VER
5,248.27040593902368,230.33979867581692,VER
6,226.7364299134694,204.44464442549634,VER
7,158.3451073718656,152.9392574358155,VER
8,233.182187527384,231.74779037338843,VER
9,278.1205567106221,280.0911441201296,BOT
10,296.39836716843536,296.94980676184446,BOT
11,304.7436645023888,305.67756581894736,BOT
12,309.0058927817143,310.2135507998508,BOT
13,306.5375298961378,305.0557902455105,VER
14,136.4233528669611,129.31457603275544,VER
15,120.59691776731084,121.4324044775802,BOT
16,95.91733902264612,94.42244975909756,VER
17,230.87106383726086,231.3069439843296,BOT
18,282.28813740190475,281.41292520843893,VER
19,302.38512519227953,301.2484748228956,VER
20,314.284644587726,311.01215319572685,VER
21,315.2131060214668,315.20115081650795,VER
22,121.06716170865445,131.6820842613416,BOT
23,202.38749713617744,188.92667336981793,VER
24,267.81153377212,264.0327036238743,VER
25,,279.63499904,BOT
