Minisector,HUL,ALB,Fastest
0,277.1268766043408,276.81374724624794,HUL
1,295.04437982545403,298.0526604299847,ALB
2,292.96572778013984,297.40263543191156,ALB
3,182.70111346352897,176.3954887433739,HUL
4,123.78592781572542,116.97855608922998,HUL
5,237.48412916531322,238.8121151789598,ALB
6,280.0013294608677,280.7891573462743,ALB
7,292.0496118949552,294.03288336009643,ALB
8,182.62905903970346,182.6378303000526,ALB
9,148.7549876829743,134.8504669682305,HUL
10,252.18570188772446,251.99598748213467,HUL
11,289.3687777699471,289.25804357830225,HUL
12,298.71218644704936,303.7705891786412,ALB
13,281.7190674613564,285.4288564847304,ALB
14,297.7841678708855,298.3293244154756,ALB
15,303.1805167877214,301.28992413737376,HUL
16,253.52873040192495,253.6984978130828,ALB
17,227.14423686172304,229.98934019803,ALB
18,274.08997457264616,282.32892600849175,ALB
19,295.99552613117413,299.46347861515045,ALB
20,298.9394500251852,305.9186420097343,ALB
21,242.79518445924467,239.63755586608056,HUL
22,264.09500054028985,264.3352226205889,ALB
23,137.92973422618837,137.63650736837246,HUL
24,218.26274748124357,222.24489433601426,ALB
25,254.0,,HUL
