Minisector,RUS,ANT,Fastest
0,303.3596076238095,305.7710233904762,ANT
1,151.48999878799566,149.59390983526694,RUS
2,215.39604823318427,209.15069765946953,RUS
3,287.4127030289947,287.00770877128724,RUS
4,317.6817009454682,317.67803590965985,RUS
5,316.692346486712,318.5442703666667,ANT
6,159.99097724931576,176.95796220690883,ANT
7,124.97367840915223,120.15099152698937,RUS
8,258.4135084497769,253.14564792380952,RUS
9,299.75714679054624,298.2693878072122,RUS
10,298.4210704457143,297.7870795169565,RUS
11,136.60051076852858,133.58786584398385,RUS
12,176.51283707657515,180.99582141522242,ANT
13,246.10367997598073,248.80830802575963,ANT
14,185.01211648326532,189.0205591303716,ANT
15,194.13031202594945,193.04662853986176,RUS
16,195.73702794533466,190.05023255024125,RUS
17,231.13929847521644,237.55670332179417,ANT
18,280.3910049901982,281.53064337814635,ANT
19,297.0346538714286,296.42445675650794,RUS
20,239.95693201904845,240.44711504842107,ANT
21,200.5576733867886,201.8505844701357,ANT
22,189.79439182368594,191.9307878666667,ANT
23,269.99198008599296,274.4974465592436,ANT
24,310.7395209052281,307.7659663612121,RUS
25,318.1666666666667,,RUS
