Minisector,GAS,OCO,Fastest
0,283.73920494545456,301.34393011757714,OCO
1,298.1104165333333,315.90979157333334,OCO
2,303.6355159873016,323.03608394147966,OCO
3,307.01666672,319.9333041066667,OCO
4,251.70075110545142,183.12830333476353,GAS
5,188.738884688262,220.64353931553754,OCO
6,255.06790967708022,268.91155287272727,OCO
7,281.04020112384,264.6108661003951,GAS
8,202.96555615999998,184.62330773333332,GAS
9,211.80782029119413,149.3925255799638,GAS
10,139.23695772666392,182.7748947162034,OCO
11,244.64566990057457,260.89185606870797,OCO
12,274.61475343769223,248.048230553887,GAS
13,219.0196739006084,230.07439670304905,OCO
14,261.969047115528,267.36117415757576,OCO
15,225.71866156190475,171.4579485722919,GAS
16,180.64390297060518,223.57687345718662,OCO
17,256.2238193808965,246.7517736174221,GAS
18,145.85409137644467,138.73479749202556,GAS
19,210.59775635730202,241.6549118602147,OCO
20,271.8547020419048,279.22182542222225,OCO
21,290.81439890942613,238.22274392447514,GAS
22,160.23545410123634,145.87801559957285,GAS
23,177.9650665581123,215.67330591811458,OCO
24,256.5094208162519,276.52698325148276,OCO
25,275.72500053333334,,GAS
