Minisector,OCO,GAS,Fastest
0,263.4464423883422,262.1746533361165,OCO
1,125.25379858083234,134.83518092320585,GAS
2,196.53593351303692,187.21899857492448,OCO
3,246.8445494996683,239.31696396190478,OCO
4,259.44451921379425,259.87425346647944,GAS
5,170.09047679999998,192.80033963977456,GAS
6,139.8488961433954,141.43136747456995,GAS
7,182.1446056055322,178.7210426303963,OCO
8,102.90476983424813,102.81257463477243,OCO
9,73.37096645757187,77.20354223044161,GAS
10,93.65946438026246,90.83256367952045,OCO
11,175.3240056708776,164.92716891480885,OCO
12,245.4385529339279,237.20611131259258,OCO
13,271.0755046362055,262.9630977776779,OCO
14,281.0437978139194,278.40316191876315,OCO
15,112.71231051988946,128.31988545742152,GAS
16,139.32372600658638,121.72931175027887,OCO
17,182.41059147282493,189.2935749726098,GAS
18,191.76916678141592,188.54535003571064,OCO
19,206.59782779788557,217.45173333431842,GAS
20,127.94541383695228,125.77334237625713,OCO
21,114.38461566043237,125.71225278042544,GAS
22,90.58411517675198,82.22336203028773,OCO
23,192.09489659084227,181.45753802645118,OCO
24,251.25992672823432,241.9806340307961,OCO
25,,257.6374976,GAS
