Minisector,ALO,TSU,Fastest
0,293.6000710983476,294.7299877512739,TSU
1,301.2918877235756,306.6285052667403,TSU
2,306.16733224811173,306.52482978500797,TSU
3,183.40262557989172,182.8513619963049,ALO
4,208.27500366918414,213.29179264804077,TSU
5,208.1511156943159,200.89765470071475,ALO
6,264.1131652405195,261.569631482353,ALO
7,252.8178888331382,251.68250443015057,ALO
8,212.39631110424455,206.00186803480844,ALO
9,203.32092642538655,206.47329936317433,TSU
10,141.34036211355908,143.04992517242675,TSU
11,201.81821819386835,189.91641363788753,ALO
12,184.70354099329128,192.43914162948005,TSU
13,252.0701973445614,250.707417781271,ALO
14,177.87327424383207,177.2626754241512,ALO
15,234.90179843995816,237.40435284799835,TSU
16,281.01598803957705,282.09499796680274,TSU
17,291.370045076337,293.02111108972593,TSU
18,282.6402630379092,284.6407633099455,TSU
19,263.4914075728296,264.02494978613964,TSU
20,264.06959250290214,259.8726584124527,ALO
21,265.933064579601,265.1665437385621,ALO
22,232.08123348086232,225.54597514517374,ALO
23,200.73130598679757,210.2823482521811,TSU
24,269.5511629424017,271.5020740941774,TSU
