Minisector,ANT,LEC,Fastest
0,273.63157894736844,279.7316376421053,LEC
1,125.15070808820809,120.3827322235722,ANT
2,163.55902871075284,162.20038947860317,ANT
3,206.5597866419295,195.8009059248833,ANT
4,174.28955314009661,161.93138776426332,ANT
5,238.5459001782531,230.91856846727424,ANT
6,208.619099378882,166.6252356442743,ANT
7,138.20876176510467,135.91220014313416,ANT
8,248.21969507101088,244.77797186672714,ANT
9,285.17712053571427,287.94789272017374,LEC
10,282.8267448849713,262.8221607007677,ANT
11,157.96724644403216,147.36075163773629,ANT
12,225.86421141134002,231.7531795474286,LEC
13,279.1001400560224,278.79263156616247,ANT
14,258.32450980392156,243.12900586117624,ANT
15,104.61468896156924,102.04021280808043,ANT
16,236.26248487102194,237.0141131019913,LEC
17,295.91898577612864,295.1816059238095,ANT
18,313.7619658119658,324.82721340064495,LEC
19,322.8232353338562,334.53292594251855,LEC
20,325.64930555555554,331.3570392292571,LEC
21,297.09236633249793,258.7261843099923,ANT
22,159.61681983427872,152.8399869408928,ANT
23,244.00773809523812,253.51438916374335,LEC
24,283.2798941798942,301.16589668848485,LEC
