Minisector,ALB,GAS,Fastest
0,284.9950961342404,291.30426041890314,GAS
1,291.58442986666665,300.29807024378266,GAS
2,294.23289465263156,304.90711799999997,GAS
3,288.2905906213152,292.1818908452563,GAS
4,171.88385482857143,167.86486342495405,ALB
5,207.6349325792256,209.1078095664135,GAS
6,226.47645189485712,229.80843575127653,GAS
7,260.5751300350901,264.05476588106114,GAS
8,252.4770968712215,249.8779525333333,ALB
9,165.16823431711865,160.19537034327107,ALB
10,226.4825600335238,225.81554649432013,ALB
11,136.736913326342,134.67578144379735,ALB
12,227.75066530133333,223.97649924266665,ALB
13,193.02311525286467,184.9805766998591,ALB
14,215.66856564395604,222.50384533333335,GAS
15,238.97096532123018,234.18312069776405,ALB
16,257.0784415536232,257.19200531534995,GAS
17,278.59328333981836,277.5954931736961,ALB
18,132.39392679314696,123.90304945973858,ALB
19,162.55017938543216,160.86859359989054,ALB
20,149.84927916520226,152.0299219965048,GAS
21,164.34244123428573,153.29773548596796,ALB
22,118.90676670205205,120.02736347770839,GAS
23,225.88366549333333,232.39768978895236,GAS
24,267.1811895537482,272.1629884020841,GAS
25,280.7083328,,ALB
