Minisector,NOR,BEA,Fastest
0,300.5820870870706,306.0808475343915,BEA
1,207.75288276139383,193.15481798389226,NOR
2,223.81436968655237,212.69766838213758,NOR
3,274.7010281026757,265.11178478294784,NOR
4,244.97162017376638,223.27332849993266,NOR
5,126.49270335991018,125.9043252984258,NOR
6,202.26344849486966,205.91241708701537,BEA
7,247.15654182090597,244.55295749047397,NOR
8,232.47483948433862,236.5698893291005,BEA
9,239.59647185553195,228.85567429300207,NOR
10,286.4105369587252,285.30931808963624,NOR
11,308.83720877291415,310.9299117782456,BEA
12,316.6958806820202,323.7988540773333,BEA
13,311.3108939088889,322.0412034650604,BEA
14,302.6642948404762,312.24349786038164,BEA
15,261.66577517876453,244.57745993915344,NOR
16,240.87373706666668,229.64615314125874,NOR
17,279.8240424617744,272.0266748943377,NOR
18,287.8219948039143,280.31828933241906,NOR
19,162.85503772650486,154.94101102104247,NOR
20,199.04185203665494,193.07801548562358,NOR
21,181.19965821683294,168.3493547201977,NOR
22,133.06539192072697,126.40680441959306,NOR
23,236.94329830214025,239.35229316306967,BEA
24,287.73174637206347,291.4655944370205,BEA
25,297.4375008,,NOR
