Minisector,HAD,BOR,Fastest
0,248.73335719963148,244.4627128877598,HAD
1,132.27060958148428,136.56417836037414,BOR
2,280.6296650102682,272.92653368886306,HAD
3,320.9282027402791,305.4675875299171,HAD
4,298.6464783551323,290.97135067715936,HAD
5,318.4849835409636,308.5195224515667,HAD
6,321.9217128237037,308.3051871290964,HAD
7,314.22944759590246,306.54646013816875,HAD
8,194.0335348222233,202.19014341088877,BOR
9,194.53460128634921,188.24583837629655,HAD
10,182.2964768218912,184.75021854024425,BOR
11,164.9805707275193,173.44473202607057,BOR
12,241.9699341407782,242.76535623989201,BOR
13,260.8894707564221,262.1266572420876,BOR
14,272.3772385205592,263.87026388622223,HAD
15,258.19265438499997,256.65994046258754,HAD
16,166.97629944332064,175.60014149849889,BOR
17,183.82023674033087,187.92947107386493,BOR
18,248.01831069949074,240.07764116392156,HAD
19,302.76727448416966,286.30632931074985,HAD
20,322.74351951595105,311.18535697632655,HAD
21,312.79756924814814,292.58813625593353,HAD
22,300.54963798619457,275.13046397246666,HAD
23,243.73886019800253,234.89010349394457,HAD
24,118.06606628452542,120.98839351764677,BOR
25,219.34499712,220.5138891851852,BOR
