Minisector,VER,RIC,Fastest
0,276.0863088253968,273.90329634646906,VER
1,292.25113624242425,291.1231061818182,VER
2,232.26616994857,218.9287354389789,VER
3,133.50799058686064,130.0613187757128,VER
4,194.67525172640694,186.31332673414,VER
5,127.39811665324238,124.66590473349699,VER
6,210.46065029646903,215.15856946607784,RIC
7,267.4409727111111,261.744355459318,VER
8,193.9855807821419,182.98266777128777,VER
9,181.98719200653062,182.8944489158399,RIC
10,264.8975209989553,260.56448713815433,VER
11,195.66188903434343,186.94856077577776,VER
12,163.64028533545397,168.51483557136973,RIC
13,256.7188328533333,253.99231951765762,VER
14,272.48256891153807,270.7831631278935,VER
15,285.7464012606061,283.29545464242426,VER
16,218.79632576763615,206.62502118349673,VER
17,199.78125458214285,199.08838406464648,VER
18,245.31727791795643,247.234606126012,RIC
19,281.8469693090909,282.33876860289854,RIC
20,291.533980263354,292.3112251912993,RIC
21,209.81967374215708,192.0552898700199,VER
22,149.16002529113365,153.84221511543572,RIC
23,162.56323199942716,157.70731715790868,VER
24,226.48738068218447,230.75684331226952,RIC
25,260.1124992,,VER
