Minisector,ANT,BEA,Fastest
0,287.8455873990885,285.80208282190875,ANT
1,307.59873129382134,302.7630786074074,ANT
2,311.2671505423377,300.7261236801832,ANT
3,202.47706137904763,199.25882514459863,ANT
4,232.84061832402298,232.93709493216116,BEA
5,222.82387276519304,223.12464314958262,BEA
6,203.40693532943305,212.70439632118516,BEA
7,232.36233810536262,229.3667239711111,ANT
8,269.87928753835496,264.4294995772583,ANT
9,276.73695528666667,265.14624449261083,ANT
10,177.02440839143088,174.97135807322752,ANT
11,238.74416998782092,234.73302049956428,ANT
12,111.79827338766013,120.84762521414235,BEA
13,223.42050686706827,221.2711687084581,ANT
14,277.1933027191302,276.6215316072636,ANT
15,292.9987662799423,285.88418350994283,ANT
16,221.01222994250784,216.2514823851234,ANT
17,189.72649154841926,187.06570984159487,ANT
18,268.2438514626347,267.4284731715751,ANT
19,295.1672269365195,290.46615016342855,ANT
20,307.60563206643684,300.83563622485497,ANT
21,306.14622031891156,302.05029412940837,ANT
22,281.3413871937251,270.5097344231651,ANT
23,119.29026621243301,120.3555268629483,BEA
24,243.57026915267124,241.6408107754882,ANT
25,273.75,272.9624992,ANT
