Minisector,LEC,SAI,Fastest
0,251.14542690041552,250.9516148485501,LEC
1,205.25802692431452,207.04934445471136,SAI
2,197.78455123590595,198.63551276549333,SAI
3,248.36276414086953,249.08329735937323,SAI
4,269.0139604295856,265.0445333426526,LEC
5,286.3686645093461,287.06565143544356,SAI
6,150.1979884508895,163.8537723810461,SAI
7,176.48337288051314,185.1963898755799,SAI
8,266.3373493348792,268.734839552312,SAI
9,293.2719334877558,302.6561443490052,SAI
10,306.7939920255892,320.9136929179804,SAI
11,307.70919189707604,324.31653324907563,SAI
12,107.65310309767308,116.43038211823904,SAI
13,186.0300724098297,180.5601756553087,LEC
14,277.05298354733895,267.55602314666663,LEC
15,305.18092697843787,292.8915095690236,LEC
16,310.43708308317457,299.7607453426479,LEC
17,174.73799441857963,177.1443204923874,SAI
18,210.59957475102038,220.55133895882366,SAI
19,263.96809227230284,266.66829633411015,SAI
20,144.33602575327328,150.76394499118337,SAI
21,139.74833232549042,140.83279040844803,SAI
22,218.7278756096,215.0086533826801,LEC
23,230.63846181850676,227.47503359945233,LEC
24,153.05652032263743,157.62198998291757,SAI
