Minisector,ALO,PER,Fastest
0,279.4012531496013,284.3753434086478,PER
1,129.3110914281704,132.40416017790827,PER
2,154.3418028358773,160.0261589990715,PER
3,206.75067296256532,231.15062852498698,PER
4,165.9950696784849,163.24323547933508,ALO
5,242.73875995787117,239.7967361415539,ALO
6,220.04709686176048,234.18949667961368,PER
7,132.7959509094466,136.89577825950897,PER
8,232.71748408380952,231.5908383453804,ALO
9,274.97063267506724,271.8261945722231,ALO
10,284.5215125252149,284.0957755030997,ALO
11,150.9588441407898,152.78790642752688,PER
12,216.40438204225148,219.72435453496735,PER
13,266.66661298023496,265.8892813196355,ALO
14,264.100819441552,271.00928620783066,PER
15,101.24368694741702,105.17867871631836,PER
16,213.42090535996994,221.61661247907648,PER
17,269.18329043666273,270.3457318495722,PER
18,289.7771648194211,289.64641773262787,ALO
19,300.4487514969705,298.86460623451705,ALO
20,304.1656862745098,304.3565355626667,PER
21,284.3120300203654,301.9065468952381,PER
22,151.45840586080237,154.97535734872332,PER
23,232.45398366766744,234.4668138342752,PER
24,275.4656510430461,271.963824008692,ALO
25,,283.08333333333337,PER
