Minisector,GAS,RIC,Fastest
0,299.93812476190476,303.3605354819048,RIC
1,303.02412277894734,306.00172311578945,RIC
2,297.23583386666667,298.9298538160618,RIC
3,216.6844099539097,221.7588164923077,RIC
4,222.11892112315311,220.99794967128142,GAS
5,118.17569491927527,118.20713243809216,RIC
6,226.71482001785932,220.59276558017956,GAS
7,268.9226184126984,263.356158515942,GAS
8,215.69559979144591,215.42876382290936,GAS
9,126.86685072253968,121.68663993080455,GAS
10,244.85954975176136,237.00989431746032,GAS
11,245.61974721987576,249.55634133333334,RIC
12,131.2153954287649,133.2031826805475,RIC
13,223.09427592533336,217.25390749440183,GAS
14,268.36244053817455,264.7184520126984,GAS
15,214.18571653333333,217.43499786150983,RIC
16,169.08973728621612,168.44081289476335,GAS
17,244.84097247407408,240.91963148525042,GAS
18,123.04204705853392,121.89669630848584,GAS
19,148.03192661718376,145.89869338715283,GAS
20,208.41468107936507,203.89834566797103,GAS
21,259.5421604923796,256.2798589024402,GAS
22,275.5416664888889,273.54366612266665,GAS
23,283.8624998603175,284.85244612250034,RIC
24,293.08559026981084,293.51495576701757,RIC
25,297.3666666666667,298.3124992,RIC
