Minisector,HAD,COL,Fastest
0,280.42188096628036,283.39074055962476,COL
1,287.62189117254525,297.5659316085691,COL
2,273.3648128051098,275.8440488268607,COL
3,174.14522480774056,169.42309442439927,HAD
4,116.22647836035298,114.54493986958038,HAD
5,244.25856073612465,240.3860584728492,HAD
6,285.8601324901587,287.0991448658594,COL
7,291.8989922873252,292.98209083530963,COL
8,175.80023461869487,172.98430562563297,HAD
9,140.53437143710602,133.4110902960493,HAD
10,257.76695751566376,249.67761466673943,HAD
11,292.22595248761905,291.67892402283707,HAD
12,292.95138828270177,293.28945617554285,COL
13,267.67752550937814,263.7357936774603,HAD
14,281.3620535714286,282.0945154524846,COL
15,276.43307166333966,278.2251659728716,COL
16,245.48765432098767,235.5511117382956,HAD
17,219.06336697747128,212.50551259619448,HAD
18,275.55518922358857,271.56374767255215,HAD
19,297.4031570858035,295.3124350212987,HAD
20,296.7013888888889,297.750625216,COL
21,228.856237597551,217.42946109079506,HAD
22,238.21803412557574,231.7445751346642,HAD
23,134.160701360842,129.7779148675677,HAD
24,213.2107631709789,202.06440553725488,HAD
25,,257.2666680888889,COL
