Minisector,LAW,COL,Fastest
0,285.03366304839744,283.39074055962476,LAW
1,299.93296402739776,297.5659316085691,LAW
2,280.31443291812326,275.8440488268607,LAW
3,162.14861779929825,169.42309442439927,COL
4,114.18707103307032,114.54493986958038,COL
5,240.60669807545864,239.12150081176316,LAW
6,287.40920252554866,286.30445303081416,LAW
7,293.72225545016,292.98209083530963,LAW
8,168.8244516537442,173.6783141152339,COL
9,137.81394304430424,133.69714734906793,LAW
10,251.91457253836373,249.67761466673943,LAW
11,287.54375694506666,291.67892402283707,COL
12,290.258587001479,293.28945617554285,COL
13,263.61037196751516,263.7357936774603,COL
14,281.6186002720999,282.0945154524846,COL
15,277.5040264751211,278.67642427151515,COL
16,239.1012343206597,238.28337362621917,LAW
17,213.40469280440513,210.83064807985184,LAW
18,280.35446846687273,269.6073083028552,LAW
19,299.8025509877551,295.0376416064227,LAW
20,298.92092982724637,298.038750144,LAW
21,216.6008607595171,220.88413959202688,COL
22,244.4555457690667,229.26570610609272,LAW
23,128.3220781024906,134.53159686618875,COL
24,209.51416558314574,198.37224867450982,LAW
25,,255.9000007111111,COL
