Minisector,RUS,HUL,Fastest
0,312.8318408972542,307.83250756471676,RUS
1,241.8961835017489,242.03223484848485,HUL
2,133.19505103866814,127.12113236484466,RUS
3,218.0485471855639,216.75039285714288,RUS
4,266.18781357360854,261.9404370443476,RUS
5,291.56322316900366,287.40245535714286,RUS
6,307.6744067213507,303.65208333333334,RUS
7,282.6954605180953,303.76447601122914,HUL
8,170.1820670012766,174.41108391608392,HUL
9,237.42896666442914,238.2372660445874,HUL
10,273.5345652111246,272.23138592341843,RUS
11,260.8372445446356,267.7603221288515,HUL
12,206.167099438376,205.83963625396825,RUS
13,122.78762251640212,126.68032085937493,HUL
14,123.35452731001153,122.14391425073244,RUS
15,166.08127421159472,166.61142995198048,HUL
16,123.61017166078958,123.63939019434095,HUL
17,226.8150373491707,224.0022788234394,RUS
18,183.6371940519865,177.17706651278073,RUS
19,161.96234646390363,162.04505224504618,HUL
20,242.99955481931042,245.7883597883598,HUL
21,274.6516893192982,274.91481736779497,HUL
22,292.9543079857143,293.9148701298701,HUL
23,303.4588629490554,311.1096153846154,HUL
24,309.25541686704764,319.85437130566595,HUL
25,311.0,,RUS
