Minisector,NOR,ALO,Fastest
0,278.237145778319,278.4089696651082,ALO
1,297.02377498744124,298.17605335893586,ALO
2,234.4652011976014,235.7860184911464,ALO
3,109.63735250177525,112.29198912767171,ALO
4,124.2532853581793,128.53987000202898,ALO
5,250.01943440871963,247.4652863031,NOR
6,241.0152542464469,244.61043934978,ALO
7,121.59979570197522,120.08529201819965,NOR
8,244.9703897020586,247.5861949786362,ALO
9,251.09633181153146,262.5678073523634,ALO
10,208.00731195588244,210.31682389939127,ALO
11,131.97536252901403,141.81139233112975,ALO
12,205.97917232722833,206.30311206856612,ALO
13,259.6738572621,249.2259269908364,NOR
14,111.62951542245705,108.6042637607059,NOR
15,186.5264134000205,187.0592703785289,ALO
16,257.0028712780424,255.58030162873854,NOR
17,288.53783356395604,293.48554505784676,ALO
18,302.8263951879061,313.0911155665163,ALO
19,308.14640359017545,324.94440470612614,ALO
20,309.31593756,331.19168241002507,ALO
21,157.86645354409288,161.73341911940247,ALO
22,143.4687728202919,148.78752391900454,ALO
23,191.03903491444314,193.40655577870203,ALO
24,233.88070164540966,230.75766712967032,NOR
25,,264.95499904,ALO
