Minisector,LAW,BOR,Fastest
0,288.6241506865359,290.5167583487564,BOR
1,294.34830507774893,292.04246287085715,LAW
2,153.17403577998093,155.02020257331796,BOR
3,220.85106472568665,217.33484129272355,LAW
4,268.19302005491653,268.95144253172907,BOR
5,289.4980530800907,290.4285863010035,BOR
6,300.31959827918365,295.2809036753114,LAW
7,164.64994480134024,150.48524825862012,LAW
8,132.88573066231743,140.17077992205802,BOR
9,248.51355840870747,248.6312382887436,BOR
10,282.5141237825878,282.17939263744483,LAW
11,288.37896714120933,287.4354018119474,LAW
12,134.63646557745523,141.33925902837902,BOR
13,199.44573404059403,192.53167438743353,LAW
14,256.8422677291775,254.91015000466268,LAW
15,192.78665575800397,203.16503645737373,BOR
16,213.41614218672206,222.31011289087434,BOR
17,208.33030331486984,214.25261276244348,BOR
18,241.1629743751959,244.218357316083,BOR
19,273.6786581727273,276.968493765614,BOR
20,290.79893526716046,288.8055531461438,LAW
21,254.96044066730462,255.80019992061614,BOR
22,214.49050448654162,221.32899389438234,BOR
23,196.8803676517755,199.12912148457144,BOR
24,261.0596276306173,263.4289028065882,BOR
25,,281.15714194285715,BOR
