Minisector,RUS,PIA,Fastest
0,277.6647278830702,281.4335195138087,PIA
1,146.70535383519282,142.34879750102286,RUS
2,215.4423777685108,220.54709851799944,PIA
3,282.9219366483522,281.8105910370025,RUS
4,311.4148555766676,312.2541581098044,PIA
5,293.5574161924633,306.6045626007722,PIA
6,149.70852861740417,149.2783751867376,RUS
7,248.75477257817775,229.2774197065065,RUS
8,113.77308029761144,107.74770481524615,RUS
9,156.14311375304294,174.60015675405072,PIA
10,273.9667375051703,279.3464846014265,PIA
11,295.8138609565453,297.4541251191185,PIA
12,216.88538221644114,206.07949493716856,RUS
13,159.95433357106836,178.849694158647,PIA
14,269.47286430676957,281.90968397839737,PIA
15,312.2699773092314,311.40925860956924,RUS
16,323.708375104,325.1868579347042,PIA
17,333.82666385429934,332.8924228396653,RUS
18,332.2743339882086,334.14365071481035,PIA
19,327.8023810031746,327.90286617247466,PIA
20,199.03219106311698,181.0028482406211,RUS
21,162.17870515414174,178.72004013012912,PIA
22,278.4928637403347,280.32796257168366,PIA
23,314.444817262504,313.14730116860017,RUS
24,322.91107243660895,318.5851944182708,RUS
25,319.0708330666667,,RUS
