Minisector,LEC,VER,Fastest
0,260.5184936886131,257.5419068265726,LEC
1,131.83842425218248,132.86500023656606,VER
2,269.85940317633475,270.22532142774975,VER
3,311.1957720639821,309.7245543476364,LEC
4,309.7745289999724,309.8098912260197,VER
5,318.3899538687227,317.653450074249,LEC
6,323.5836096764022,322.3763634269008,LEC
7,322.5672,318.60698384695655,LEC
8,198.64149888673626,203.53124785160495,VER
9,206.94724383679196,205.894461296668,LEC
10,179.3314000651882,183.02255430671167,VER
11,174.49433731797768,176.35901395212886,VER
12,261.07611339904344,258.292351927132,LEC
13,284.1010132329908,282.6805464757195,LEC
14,287.45046379244667,287.2453968253968,LEC
15,279.0920545385104,269.3258113317914,LEC
16,170.8146371424305,174.08295686536476,VER
17,197.72730174611462,197.3674992682817,LEC
18,250.97648102103705,249.88461461944343,LEC
19,294.1112488875844,293.29435955160494,LEC
20,312.0108025169463,312.1712587069013,VER
21,317.779029265348,317.4758034989011,LEC
22,316.2634573578422,315.65587605848964,LEC
23,272.12723849142856,251.38876819591837,LEC
24,118.79779895050802,119.94387940504033,VER
25,232.34999679999999,,LEC
