Minisector,ALO,MAG,Fastest
0,241.82053602321253,238.59465882082426,ALO
1,272.9380848135218,270.4172393321265,ALO
2,162.29271312173321,172.42691287104057,MAG
3,153.75176650814814,149.22412285512294,ALO
4,254.84113309529374,254.23261256916996,ALO
5,265.0045677457644,264.6710940203958,ALO
6,224.61025964522523,216.74386169516387,ALO
7,194.33607020450216,192.44318421927466,ALO
8,152.4451469823501,149.02987173475935,ALO
9,209.8952218732173,207.75993508910054,ALO
10,270.95815449037315,266.8871076779586,ALO
11,121.05224566585203,118.35939354029055,ALO
12,202.38620249823717,204.54488160372486,MAG
13,268.00675834920634,264.2523449265151,ALO
14,290.8637192297119,287.01327999999995,ALO
15,300.31915707636364,295.14971210443616,ALO
16,253.1137075383908,242.50217850730158,ALO
17,128.8584613828084,132.4354124439751,MAG
18,129.48794564855567,130.17336029427153,MAG
19,116.70206815486664,117.18273400664401,MAG
20,220.2379373780666,221.1158392145159,MAG
21,250.65046327161906,254.74613845897437,MAG
22,228.38422247395886,227.24786471015156,ALO
23,202.95472240700337,196.1012430483543,ALO
24,131.40572805478317,132.9837504780221,MAG
25,212.94999808,,ALO
